model,press,exact_at_0.5,baseline
qwen2.5-7b,snapkv,74,98
qwen2.5-7b,tova,69,98
qwen2.5-7b,keydiff,61,98
qwen2.5-7b,cur,60,98
qwen3-4b,tova,78,107
qwen3-4b,cur,75,107
qwen3-4b,keydiff,72,107
qwen3-4b,snapkv,71,107
qwen3-4b,expected_attention,43,107
qwen3-4b,lagkv,25,107
qwen3-4b,knorm,2,107
qwen3-4b,pyramidkv,1,107
qwen3-4b,streamingllm,0,107
mistral-7b,keydiff,63,84
mistral-7b,tova,55,84
mistral-7b,snapkv,46,84
mistral-7b,knorm,43,84
mistral-7b,cur,37,84
mistral-7b,pyramidkv,35,84
mistral-7b,expected_attention,29,84
mistral-7b,lagkv,5,84
mistral-7b,streamingllm,0,84
